time in hr:min:sec (displays in total sec)	time in hr:min:sec (displays in total sec)	annotation	layer	Index
0	7	Dr. Louise Banks dancing around with wine in her hand, presumably heading in the direction of Dr. Ian Donnelly. The implication of this scene is that it is a good amount of time, maybe years, after their case with the aliens had finished, and they are enjoying themselves together and their new life.	Time scene 1	Time
8	37	Ian and Louise standing next to each other right after the conclusion of their case with the aliens had ended, as they haven't even left the field where they were doing their work yet. 	Time scene 2	Time
38	45	Louise and Ian are now dancing together, and it seems to be a jump back to the scene with Louise and her wine, but now they are together and dancing.	Time scene 1	Time
46	62	Jumping back to the field right after their case has ended, Ian and Louise look at each other and hug. 	Time scene 2	Time
63	68	Back to scene 1, with the 'couple' dancing together and embarcing themselves in a hug, with parallels seen in head placement.	Time scene 1	Time
69	76	Back to scene 2, where they continue to hug like seen before, but conversation continues.	Time scene 2	Time
77	83	The lighting and shot change leads us to believe this is back at scene 1, and it is implied that this is the painting by the daughter that shows both Ian and Louise and their experience in the room with the aliens due to the bird cage, as seen in the scenes with the aliens. 	Time scene 1	Time
84	90	Though it seems that the prior scene was still within the same time as scene 1, the shot cut goes back to the 'couple' instead of the painting, and the 'couple' hugging and dancing, conversation continues.	Time scene 1	Time
91	120	This seems to be a conglomeration of time scenes of the daughter of both Ian and Louise's, they are out of order, and in some spaces she is in similar clothing, some different, and also includes scenes where she is at different ages.  	Time scene 3	Time
121	124	Back to scene 1, and Louise responds to Ian's question.	Time scene 1	Time
125	133	Jumping to scene 2, and both Ian and Louise are in full embrace of each other.	Time scene 2	Time
1	5	Two note repetition; "On the Nature of Daylight" by Max Richter. 	Score	
10	13	Two note repetition; the repetition throughout the piece will be highlighted to show scale of repetition and serve as a use for making an argument about how the music itself plays a role in the film's conceptual authenticity. 	Score	Time
17	21	Two note repetition 	Score	
25	28	Two note repetition 	Score	
33	36	Two note repetition 	Score	
40	43	Two note repetition	Score	
48	51	Two note repetition	Score	
56	59	Two note repetition	Score	
63	66	Two note repetition	Score	
71	74	Two note repetition	Score	
47	49	In the official recording, there is a mistake done by the orchestra at the top of this repetition sequence, and the officials in the film decided to fix it for this note or do a whole different orchestral recording instead. Was it to correct this note? What do mistakes in music add to their authenticity, and this correction adds further content to the discussion of adaptation in art and how it utilizing art can lead to the challenge of its authenticity.	Score	Transformation
79	82	Two note repetition	Score	
87	90	Two note repetition	Score	
94	97	Two note repetition	Score	
102	105	Two note repetition	Score	
109	111	Two note repetition	Score	
117	120	Two note repetition	Score	
125	127	Two note repetition	Score	
132	136	Two note repetition	Score	
