time in hr:min:sec (displays in total sec)	time in hr:min:sec (displays in total sec)	annotation	layer	Index
0	22	Silence, static	Noise	
23	38	The program introduction by an unknown man, he says, "Tonight The Poetry Center closes its longest and most successful season with the happiest of events. I'm referring, of course, to the presence, here, of our guest, Carson McCullers."	Transcription	
40	55	"When we think of Carson McCullers, we identify her as we do any writer of the first distinction: by a particular quality, a particular tone, a particular way of seeing."	Transcription	
56	66	"Which is but another way of saying that she is an artist who, out of the real world, has created a world that is her own."	Transcription	Transformation
68	95	"And by successive glimpses into that world, by those works of the creative imagination and titled "The Heart is a Lonely Hunter", "Reflections in a Golden Eye", "The Ballad of a Sad Cafe", and "The Member of the Wedding", we read the accomplishment of a brilliant young career, that has already put its mark on a whole literary generation.	Transcription	Transformation
98	119	"We have a surprise for you, this evening. And it's a delightful surprise. Assisting Carson McCullers in the execution of her program will be another writer, with whom she is often identified. That other writer, to who had kindly offered his most valuable assistance, is Tennessee Williams."	Transcription	
120	130	The crowd gasps and starts applauding.	Noise	
131	141	"Mrs. McCullers has appeared in public most infrequently, and has confessed that she meets her audience with nothing short of fear and trembling."	Transcription	
142	159	"It seems to me that out of all the audiences she will ever meet, none will be more sympathetic or happier to see her than this one. And in welcoming her and Mr. Williams, I know you will make that evident. It is a pleasure now to give you Carson McCullers and Tennessee Williams."	Transcription	
160	200	Applause	Noise	
201	255	Carson McCullers, "When first I was on platform speaking, I was supported by two people on the stage. It came about like this: It was in Paris, and, um, I didn't know a word of French- except 'oui' and 'non'. And then one day, I had just come, and one day this stranger came to my hotel and said that, starting talking to me in French, and I didn't understand a word he said. And, um, I said, "some tea", and he talked more. I still didn't understanding, but I understood the name of my books in French; "le Coeur est un Chasseur Solitaire", "reflets dans un oeil d'or", et "la ballade d'un café triste". So I knew he was talking about my books, but I didn't know what he was saying. And I said, "Oui." 	Transcription	
256	258	Laughter	Noise	
259	295	"And then he took my hand, "All bon, madame. All bon, madame." He was so delighted. I was like what's he so delighted for? And so then, I took him to the elevator. And then he called again the next day. And talk so more. In French that was intelligible to me as a waterfall. So I, I said, "Oui, Monsieur." And he said, "All bon, madame." All over again, "All bon, madame." Just delighted. And then, he came another time, and I began to wonder what this man was doing in my life."	Transcription	
296	297	Laughter	Noise	
298	325	"So, I soon find out. [Inaudible] was living in the same hotel, and one day she came up to my attic room, and showed me this-- said, "What are you doing, Carson?" And I said, "What do you mean?" And she showed me this card. And in the card it said, and they were in French, and I- am hap- proud to announce that Carson McCullers will speak at the Sorbonne University."	Transcription	
326	328	Laughter	Noise	
