time in hr:min:sec (displays in total sec)	time in hr:min:sec (displays in total sec)	annotation	layer	Index
0.5	17	TOM: I have tricks in my pocket, I have things up my sleeve. But I am the opposite of a stage magician. He gives you illusion that has the appearance of truth. I give you truth in the pleasant disguise of illusion.	Transcription	
18	43	TOM: To begin with, I turn bark time. I reverse it to that quaint period, the thirties, when the huge middle class of America was matriculating in a school for the blind. Their eyes had failed them or they had failed their eyes, and so they were having their fingers pressed forcibly down on the fiery Braille alphabet of a dissolving economy.	Transcription	Time
45	106	TOM: In Spain there was revolution. Here there was only shouting and confusion. In Spain there was Guernica. Here there were disturbances of labour, sometimes pretty violent, in otherwise peaceful cities such as Chicago, Cleveland, Saint Louis. . . .This is the social background of the play.	Transcription	
107	156	TOM: The play is memory. Being a memory play, it is dimly lighted, it is sentimental, it is not realistic. In memory everything seems to happen to music. That explains the fiddle in the wings. I am the narrator of the play, and also a character in it. The other characters are my mother Amanda, my sister Laura and a gentleman caller who appears in the final scenes. He is the most realistic character in the play, being an emissary from a world of reality that we were somehow set apart from. But since I have a poet's weakness for symbols, I am using this character also as a symbol; he is the long-delayed but always expected something that we live for. There is a fifth character in the play who doesn't appear except in this larger-thanlife-size photograph over the mantel. This is our father who left us a long time ago.He was a telephone man who fell in love with long distances; he gave up his job with the telephone company and skipped the light fantastic out of town. . . .The last we heard of him was a picture postcard from Mazatlan, on the Pacific coast of Mexico, containing a message of two words - 'Hello - Good-bye!' and no address.I think the rest of the play will explain itself ...	Transcription	Time
158	159	AMANDA: Tom? Tom?	Transcription	
161	162	TOM: Yes, Mother?	Transcription	
162	165	AMANDA: We can't say grace until you come to the table!	Transcription	
165	166	TOM: I'm coming.	Transcription	
183	208	AMANDA: For these and all thy mercies, God's holy name we praise. You know, Laura, I had the funniest experience in Church last Sunday. The Church was crowded except for one pew way down in front, and in that, was just one little woman. I smiled very sweetly at her and I said, 'Excuse me, but would you mind if I share this pew?' 'I certainly would,' she said, 'This space is rented.' Do you know, that's the first time I ever knew that the Lord rented space.	Transcription	
210	238	AMANDA: Tom, honey, don't push with your fingers. If you have to push with something, the thing to push with is a crust of bread. And chew !chew! Animals have sections in their stomachs which enable them to digest food without mastication, but human beings are supposed to chew their food before they swallow it down. Eat food leisurely, son, and really enjoy it. A well-cooked meal has lots of delicate flavours that have to be held in the mouth for appreciation. So chew your food and give your salivary glands a chance to function!	Transcription	
239	257	TOM: Mother, I haven't enjoyed one bite of this dinner because of your constant directions on how to eat it. It's you that makes me rush through meals with your hawk-like attention to every bite I take. Sickening - spoils my appetite - all this discussion of - animals' secretion - salivary glands - mastication!	Transcription	
257	262	AMANDA: Temperament like a Metropolitan star! You're not excused from the table.	Transcription	
262	263	TOM: I'm getting a cigarette.	Transcription	
264.1	264.8	AMANDA: You smoke too much.	Transcription	
265.1	265.9	LAURA: I'll bring in the coffee.	Transcription	
266	269	AMANDA: No, sister, no, sister - you be the lady this time and I'll be the darkey.	Transcription	
270.1	270.5	LAURA: I'm already up.	Transcription	
270.7	276.4	AMANDA: Resume your seat, little sister, I want you to stay fresh and pretty for gentleman callers!	Transcription	
276.6	278.2	LAURA: I'm not expecting any gentleman callers.	Transcription	
278.4	285	AMANDA: Sometimes they come when they are least expected! Why, I remember one Sunday afternoon in Blue Mountain -	Transcription	
286	287	TOM: I know what's coming.	Transcription	
288	292	LAURA: Yes. But let her tell it. She loves to tell it.	Transcription	
292.9	307	AMANDA: One Sunday afternoon in Blue Mountain, your mother received seventeen! gentlemen callers! Why, sometimes there weren't chairs enough to accommodate them all. We had to send the colored boy over to bring in folding chairs from the parish house.	Transcription	
308	310.4	TOM: How did you entertain those gentleman callers?	Transcription	
310.6	312	AMANDA: I understood the art of conversation!	Transcription	
313	313.6	TOM: I bet you could talk.	Transcription	
314	317	AMANDA: Girls in those days knew how to talk, I can tell you.	Transcription	
318	332.4	AMANDA: They knew how to entertain their gentlemen callers. It wasn't enough for a girl to be possessed of a pretty face and a graceful figure although I wasn't slighted in either respect. She also needed to have a nimble wit and a tongue to meet all occasions.	Transcription	
332.6	333	TOM: What did you talk about?	Transcription	
334	539	AMANDA: Things of importance going on in the world ! Never anything coarse or common or vulgar.	Transcription	
340	349	AMANDA: My callers were gentleman -all! Among my callers were some of the most prominent young planters of the Mississippi Delta - planters and sons of planters!	Transcription	
350	366	AMANDA: There was young Champ Laughlin who later became vice-president of the Delta Planters Bank. Hadley Stevenson who was drowned in Moon Lake and left his widow one hundred and fifty thousand in Government bonds.	Transcription	
368	410.3	AMANDA: There were the Cutrere brothers, Wesley and Bates. Bates was one of my bright particular beaux! He got in a quarrel with that wild Wainwright boy. They shot it out on the floor of Moon Lake Casino. Bates was shot through the stomach. Died in the ambulance on his way to Memphis. His widow was also well provided for, came into eight or ten thousand acres, that's all. She married him on the rebound - never loved her - carried my picture on him the night he died !And there was that boy that every girl in the Delta had set her cap for! That beautiful, brilliant young Fitzhugh boy from Greene County!	Transcription	
410.6	412	TOM: What did he leave his widow?	Transcription	
413	417	AMANDA: He never married ! Gracious, you talk as though all of my old admirers had turned up their toes to the daisies !	Transcription	
418	420.2	TOM: Isn't this the first you've mentioned that still survives ?	Transcription	
420.6	441.2	AMANDA: That Fitzhugh boy went North and made a fortune - came to be known as the Wolf of Wall Street! He had the Midas touch, whatever he touched turned to gold! And I could have been Mrs Duncan J. Fitzhugh, mind you! But what did I do- I just went out of my way and picked your father !	Transcription	
441.4	442	LAURA [rising]: Mother, let me clear the table.	Transcription	
443	456.2	AMANDA: No, dear, you go in front and study your typewriter chart. Or practise your shorthand a little. Stay fresh and pretty! It's almost time for our gentlemen callers to start arriving. [She flounces girlishly toward the kitchenette.] How many do you suppose we're going to entertain this afternoon?	Transcription	
456.5	458	LAURA [alone in the dining-room]: I don't believe we're going to receive any, Mother.	Transcription	
459	463	AMANDA [reappearing, airily ] What? Not one - not one? You must be joking!	Transcription	
464	571	AMANDA: Not one gentleman caller? It can't be true ! There must be a flood, there must have been a tornado!	Transcription	
472	485	LAURA: It isn't a flood, it's not a tornado, Mother. I'm just not popular like you were in Blue Mountain. ... [Tom utters another groan. LAURA glances at him with a faint, apologetic smile. Her voice catching a little.] Mother's afraid I'm going to be an old maid.	Transcription	
528	530	LAURA: Hello, Mother, I was - [She makes a nervous gesture toward the chart on the Wall. AMANDA leans against the shut door and stares at LAURA with a martyred look.]	Transcription	
531	535	AMANDA: Deception ? Deception ? [She slowly removes her hat and gloves, continuing the sweet suffering stare. She lets the hat and gloves fall on the floor - a bit of acting.]	Transcription	
541	552	LAURA [shakily]: How was the DAR. meeting? Didn't you go to the DAR. meeting, Mother?	Transcription	
